Gender;Age;Academic Program;Antwort 1;Antwort 2;Antwort 3
male;23;Data Science / MSc / TU Wien;"part 1: 25; part 2: 50; part 3: 25";"part 1: 2; part 2: 4; part 3: 30; part 4: 5; part 5: 12; part 6: 5";"part 1: Internal; part 2: Internal; part 3: Internal"
female;22;Data Science / MSc / TU Wien;"part 1: 30; part 2: 60; part 3: 50";"part 1: 3; part 2: 4; part 3: 0; part 4: 0; part 5: 3; part 6: 2";"part 1: External; part 2: Internal; part 3: External"
male;31;Data Science / MSc / TU Wien;"Teil 1: 15; Teil 2: 20; Teil 3: 15";"Teil 1: 6; Teil 2: 4; Teil 3: 0; Teil 4: 1; Teil 5: 2; Teil 6: 4";"Teil 1: External; Teil 2: Internal; Teil 3: External"
female;26;Data Science / MSc / TU Wien;"part 1: 0; part 2: 30; part 3: 25";"part 1: 0; part 2: 0; part 3: 20; part 4: 5; part 5: 6; part 6: 1";"part 1: Internal; part 2: Internal; part 3: Internal"
male;23;Data Science / MSc / TU Wien;"Teil 1: 30; Teil 2: 35; Teil 3: 25";"Teil 1: 1; Teil 2: 2; Teil 3: 0; Teil 4: 7; Teil 5: 0; Teil 6: 1";"Teil 1: External; Teil 2: Internal; Teil 3: Internal"
female;23;Data Science / MSc / University of Zagreb;"part 1: 20; part 2: 20; part 3: 20";"part 1: 5; part 2: 5; part 3: 0; part 4: 3; part 5: 4.5; part 6: 2";"part 1: Internal; part 2: Internal; part 3: Internal"
male;22;Data Science / MSc / TU Wien;"Teil 1: 8; Teil 2: 9; Teil 3: 6";"Teil 1: 9; Teil 2: 5; Teil 3: 0; Teil 4: 1; Teil 5: 0; Teil 6: 2";"Teil 1: External; Teil 2: Internal; Teil 3: Internal"
male;23;Business Informatics / BSc / TU Wien;"Teil 1: 10; Teil 2: 20; Teil 3: 15";"Teil 1: 0; Teil 2: 4; Teil 3: 0; Teil 4: 1; Teil 5: 0; Teil 6: 1";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;23;Data Science / MSc / TU Wien;"part 1: 15; part 2: 30; part 3: 20";"part 1: 22.5; part 2: 5; part 3: 0; part 4: 3; part 5: 0; part 6: 1";"part 1: External; part 2: Internal; part 3: Internal"
male;22;Data Science;"part 1: 6; part 2: 6; part 3: 6";"part 1: 5; part 2: 30; part 3: 5; part 4: 30; part 5: 0; part 6: 20";"part 1: Internal; part 2: Internal; part 3: External"
